X,Y,Z,Charge
16.484791376395,17.859435969582,10.807402747034,0
16.880743383023,17.481056451962,10.022365939633,0.52
17.063859991562,17.591849443233,11.521061509839,0.52
16.609605779485,17.776744522456,10.798265496159,-1.04
17.248791478746,17.834644223393,1.239721924431,0
16.448935916361,18.282945477622,1.514474366933,0.52
17.050214012849,17.505095014515,.363253927954,0.52
17.120980005158,17.849845917926,1.162695073901,-1.04
15.361176637852,12.857300434112,23.125261386262,0
14.543928256418,12.951269174749,23.614655704484,0.52
15.417143164948,13.653237713895,22.596504888072,0.52
15.263723375728,12.971219141329,23.120222552327,-1.04
17.135616584683,17.885417207765,27.494533019075,0
16.683171375468,17.138523208918,27.102519591975,0.52
17.667195332260,17.504192871235,28.193334765097,0.52
17.145746632329,17.741004450233,27.533805625259,-1.04
12.481487431662,16.835266759914,15.872345022700,0
12.471844653294,16.230509170166,15.130450748326,0.52
12.053757893802,16.353477641877,16.580270532952,0.52
12.425498498343,16.696175672270,15.867996611064,-1.04
18.476987341810,16.660479660183,17.000397701492,0
18.437500137391,15.705242581827,17.047245590498,0.52
18.415657076947,16.948167837147,17.911279664937,0.52
18.464081489392,16.575025346912,17.122998677495,-1.04
13.139149903152,13.241780517456,10.743231853864,0
13.874486335231,12.703031115508,10.451236556917,0.52
12.775144177399,12.766525815736,11.490135221104,0.52
13.186684713619,13.111975758356,10.801465575269,-1.04
12.555270340936,14.336907368121,13.732467316391,0
13.073767471245,13.780246623709,14.313433220188,0.52
13.200802182556,14.759965571349,13.166302819078,0.52
12.704280093205,14.319804630952,13.734362074998,-1.04
16.628050474174,18.093547646499,21.661240971828,0
16.861415004019,18.663343205307,22.394116034342,0.52
17.106874557974,17.281410456348,21.826747832801,0.52
16.719219209186,18.062524993866,21.776244696898,-1.04
18.565961099199,14.816190043509,1.274871023939,0
18.373055167900,14.066873583180,1.838381435406,0.52
18.213359551323,14.570349728810,.419612859414,0.52
18.496129560386,14.688797969866,1.237523791648,-1.04
13.543533627347,17.831031985686,8.597355203409,0
13.605605685812,17.885623399774,9.550979173823,0.52
12.926703676106,17.116748052394,8.437508045862,0.52
13.472517923988,17.746583384122,8.698968212272,-1.04
15.273101631363,15.288739154548,21.256941358866,0
14.689009811030,16.041575286438,21.348080504263,0.52
16.139617190186,15.628917744735,21.479789183576,0.52
15.309255277296,15.428658226058,21.297135479253,-1.04
15.728754039831,12.516717204215,17.262977534084,0
15.839690542546,11.896302666605,17.983401529916,0.52
15.405053908017,13.314609397475,17.681090093667,0.52
15.701517728340,12.539436485383,17.408723949476,-1.04
18.584404403793,15.771636987444,24.782704766434,0
18.079762421661,14.973249112621,24.938091738502,0.52
19.164614095253,15.840192866620,25.540918882135,0.52
18.594077982301,15.678209686671,24.899656728149,-1.04
14.824649648632,16.867875103485,23.728305774734,0
14.674078107289,17.334949567769,24.550133917130,0.52
15.627416869316,17.253043077411,23.376962265986,0.52
14.908138564245,16.976972417773,23.788533484178,-1.04
15.104208303570,12.214076350935,30.681500977569,0
15.683622534074,12.958528081576,30.519320183033,0.52
15.435957206368,11.522543634673,30.108825670163,0.52
15.220848177700,12.220850623237,30.587430530575,-1.04
